Topic,Attribute,Suggestion,bestlevel
1,RestaurantsPriceRange2,"When the price range is at the middle level third level, customers tend to give better star rating.",3
1,Ambience_divey,"Considering the variance and mean of star under different status about ambience_divey, it's better to have the ambience of divey",TRUE
1,Ambience_hipster,It's better to have a hipster ambience in your breakfast resturant! Because it will increase your star rating about 0.68 if your ambience starts to be hipster!,TRUE
1,Ambience_casual, It's better to have a causual ambience in your breakfast resturant! Because it will increase your star rating about 0.39 if your ambience starts to be casual!,TRUE
1,RestaurantsDelivery,It's better to provide restaurant delivery in your breakfast resturant! Because it will increase your star rating about 0.30 if you provide retaurant dilivery!,TRUE
1,RestaurantsTableService,It's better to provide restaurant table service  in your breakfast resturant! It will largely increase your star rating!,TRUE
2,HasTV,It's unexpectable that bar type resturant are not suggested to provide TV as it will decrease your  star rating.,FALSE
2,RestaurantsAttire,"It's better for bar type resturant to have dressy attire, which may because it will attract more guests. And if the busniess change their attire into dressy style, it will roughly  increase star rating about 0.18.",dressy
2,NoiseLevel,"It's better for bar type resturant to be quiet, which may because people in this state prefer to quiet atmosphere nor the very loud type bar. And if the busniess stays quiet, it's  star rating will increase about 0.02. However if their bars are very loud, their star rating will decrease about 0.35. And if their their bars are  loud, their star rating will decrease about 0.14.",quiet
2,Smoking,"It's better for bar type resturant to be no smoking, as the star rating for no smoking is significantly larger than the star rating under permiting smoking or smoking outdoor.",no
3,RestaurantsDelivery,Dessert type resturants are suggested to provide resturant delivery service as it will  increase the star rating.,TRUE
3,GoodForMeal_dessert,It's better for the dessert type resturant to have the dessert that are suitable for meal.,TRUE
4,GoodForKids,It's better for the fast food type resturant to have the food that are customized for kids  .,TRUE
4,GoodForMeal_dinner,Fast food restaurants may have higher star rating if they have special food provided  for dinner. So dinner is  a key time for this type of resturant.,TRUE
4,BusinessParking_street,Fast food type may have higher star rating if their parking place is on the street. That is  maybe it's convenient for them to stopby.,TRUE
5,,"For foreign flavor restaurant, the most important thing is food quality and your special flavor. If you have your own special dishes no matter how your attributes are, people will love your restaurant and give you high star level.",
